"Time","End Time","Day","Name","Location","Address","Region","Sub Region","Types","Notes","Location Notes","Timezone","Group","District","Sub District","Website","Website 2","Mailing Address","Venmo","Email","Phone","Group Notes","Contact 1 Name","Contact 1 Email","Contact 1 Phone","Contact 2 Name","Contact 2 Email","Contact 2 Phone","Contact 3 Name","Contact 3 Email","Contact 3 Phone","Last Contact","Conference URL","Conference Phone","Author","Slug","Updated"
"7:30 PM","8:30 PM","Friday","T.G.I.F.","7511 Gourmet Alley","7511 Gourmet Alley, Gilroy, CA 95020, USA","Gilroy",,"Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"t-g-i-f","2017-01-1802:50:00"
"7:30 PM",,"Friday","Hora de Vivir","Alano Club of San Jose","1122 Fair Ave, San Jose, CA 95122, USA","San Jose","East San Jose","Open, Spanish",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"hora-de-vivir","2016-09-1005:15:00"
"7:30 PM",,"Friday","Gay & Lesbian Step Study & 12 Traditions Group","Billy DeFrank Center","938 The Alameda, San Jose, CA 95126, USA","San Jose","Downtown","Gay, Lesbian, Open, Step Meeting, Tradition Study, Transgender, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"gay-lesbian-step-study-12-traditions-group","2016-09-1005:15:00"
"7:45 PM",,"Friday","Thru the Big Book","Kaiser Permanente San Jose Medical Center","5755 Cottle Rd, San Jose, CA 95123, USA","San Jose","South San Jose","Big Book, Open, Wheelchair Access","This meeting is located in Bldg 3, Rm 2.",,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"thru-the-big-book","2016-09-1005:15:00"
"8:15 PM",,"Friday","Living with Others","Almaden Hills United Methodist Church","1200 Blossom Hill Rd, San Jose, CA 95118, USA","San Jose","South San Jose","Babysitting Available, Birthday, Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"living-with-others","2016-09-1005:15:00"
"7:30 AM",,"Saturday","Early Bird","Denny's Restaurant","1390 S 1st St, San Jose, CA 95110, USA","San Jose","Downtown","Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"early-bird","2014-05-3107:32:00"
"8:30 AM","9:30 AM","Saturday","Cup of Coffee Group","Alano Club of San Jose","1122 Fair Ave, San Jose, CA 95122, USA","San Jose","East San Jose","Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"cup-of-coffee-group-2","2017-02-0719:32:00"
"9:30 AM",,"Saturday","Serenity Saturday","Knights of Columbus","2211 Shamrock Dr, Campbell, CA 95008, USA","Campbell",,"Closed, Women",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"serenity-saturday","2014-05-3107:32:00"
"10:30 AM",,"Saturday","Sobriety on a Dime","Alano Club West","1555 S 7th St, San Jose, CA 95112, USA","San Jose","Downtown","Closed, Women",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"sobriety-on-a-dime","2016-09-1005:15:00"
"6:00 PM",,"Saturday","Saturday Sanctuary","Cornerstone Fellowship Group","1600 Dell Ave, Campbell, CA 95008, USA","Campbell",,"Discussion, Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"saturday-sanctuary","2015-08-0701:03:00"
"6:30 PM",,"Saturday","Gay & Lesbian Topic Discussion","First Presbyterian Church","49 N 4th St, San Jose, CA 95112, USA","San Jose","Downtown","Gay, Lesbian, Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"gay-lesbian-topic-discussion","2016-09-1005:15:00"
"7:15 PM",,"Saturday","Big Book Study","St. Elizabeth's Church","750 Sequoia Dr, Milpitas, CA 95035, USA","Milpitas",,"Big Book, Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"big-book-study","2016-08-0300:43:00"
"8:00 PM",,"Saturday","Positive Outlook","Calvary Church","16330 Los Gatos Blvd, Los Gatos, CA 95032, USA","Los Gatos",,"Birthday, Open",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"positive-outlook","2015-09-0900:44:00"
"9:00 AM",,"Sunday","Spiritual Step Study","Escondido Administration Building","150 Comstock Cir, Stanford, CA 94305, USA","Palo Alto",,"Open, Step Meeting",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"spiritual-step-study","2016-08-0300:32:00"
"6:15 PM",,"Sunday","Serenity Speakers","West Valley Presbyterian Church","6191 Bollinger Rd, Cupertino, CA 95014, USA","Cupertino",,"Open, Wheelchair Access",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,,,,"serenity-speakers","2016-09-0900:23:00"
"7:00 PM",,"Sunday","Underground Book Study","Good Samaritan Episcopal Church","15040 Union Ave, San Jose, CA 95124, USA","San Jose","South San Jose","Big Book, Men, Online Meeting, Open, Temporary Closure",,,"America/Los_Angeles",,,,,,,,,,,,,,,,,,,,,"https://us04web.zoom.us/j/9999999999","(800) 555-1212",,"underground-book-study","2020-04-0416:50:04"
